-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90
-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5
-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85
-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5,-82.5
-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80
-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5
-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75
-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5,-72.5
-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70
-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5
-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65
